,gender,varying
Aaron F. Bobick,M,1
Achim G. Hoffmann,M,1
Ada Wai-Chee Fu,F,2
Adam Field,M,1
Adam Huang,M,1
Adam Kowalczyk,M,1
Adam Moore,M,1
Adnan Darwiche,M,1
Adrian Santoso,M,1
Adrien Bartoli,M,1
Agostino Dovier,M,1
Ahmed K. Elmagarmid,M,1
Ahmed M. Elgammal,M,1
Alaa R. Alameldeen,M,1
Alaa Youssef,M,1
Alain Dutech,M,1
Alain Désilets,M,1
Alain Trouvé,M,1
Alan Borning,M,1
Alan C. Schultz,M,1
Alan Hopkins,M,1
Alan M. Frisch,M,1
Alan S. Wagner,M,1
Alan S. Willsky,M,2
Alan T. Murray,M,1
Alberto Finzi,M,1
Alberto H. F. Laender,M,1
Alberto Negro,M,1
Alberto O. Mendelzon,M,1
Alberto Suárez 0001,M,1
Albrecht Schmidt 0002,M,1
Aldo Gangemi,M,1
Aleksandar Lazarevic,M,1
Aleksander Kolcz,M,1
Aleksandr Voskoboynik,M,1
Alessandro Bissacco,M,1
Alessandro Chiuso,M,1
Alessandro Cimatti,M,1
Alessandro Moschitti,M,1
Alessandro Oltramari,M,1
Alessandro Saffiotti,M,1
Alessandro Serra,M,1
Alessandro Sperduti,M,1
Alessio Massaro,M,1
Alex Alves Freitas,M,1
Alex Pentland,M,1
Alex Rav-Acha,M,1
Alex Safonov,M,1
Alex Tyrrell,M,1
Alexander Bachlechner,M,1
Alexander C. Loui,M,1
Alexander G. Hauptmann,M,1
Alexander Maedche,M,3
Alexander Markowetz,M,1
Alexander Norbash,M,1
Alexandre Delteil,M,1
Alexandre Termier,M,1
Alexandros Kalousis,M,2
Alexandros Labrinidis,M,1
Alexandros Nanopoulos,M,2
Alexey Zalesny,M,1
Alexia Prskawetz,F,1
Alfons Kemper,M,3
Alfred M. Bruckstein,M,2
Alice X. Zheng,F,2
Alin Dobra,M,1
Alina Beygelzimer,F,1
Alistair Moffat,M,2
Allan Borodin,M,1
Allan D. Jepson,M,1
Allen Brown,M,1
Allison L. Powell,F,1
Alok N. Choudhary,M,1
Alon Efrat,M,1
Alon Y. Halevy,M,4
Alvaro Barreiro,M,1
Alvaro del Val,M,1
Amanda Clare,F,1
Amanda Stent,F,1
Amedea Ambrosetti,F,1
Amir Averbuch,M,1
Amir Jafari,M,1
Amir M. Zarkesh,M,1
Amir Netz,M,1
Amit Anil Nanavati,M,1
Amit Ganesh,M,1
Amit Singhal 0001,M,1
Amit Somani,M,1
Amnon Krupnik,M,1
Amnon Lotem,M,2
Amnon Shashua,M,2
Amos Y. Johnson,M,1
Amr El Abbadi,M,2
Amy Greenwald,F,1
Amy McGovern,F,1
Amélie Marian,F,1
Anand Rajaraman,M,1
Anand Rangarajan 0001,M,1
Anand Sivasubramaniam,M,2
Anastassia Ailamaki,F,1
Anat Levin,F,2
Anders Heyden,M,3
Anders Holst,M,1
Andrea Fusiello,F,1
Andrea L. Bertozzi,F,1
Andrea Prati 0001,F,1
Andrea Selinger,F,1
Andrea Torsello,F,1
Andreas Abecker,M,1
Andreas F. Koschan,M,1
Andreas Geyer-Schulz,M,1
Andreas Girgensohn,M,1
Andreas Gärtner,M,1
Andreas Henrich,M,1
Andreas Herzig,M,1
Andreas Hotho,M,1
Andreas Koeller,M,1
Andreas Müller,M,1
Andreas Paepcke,M,1
Andreas Turina,M,1
Andrei A. Krokhin,M,1
Andrew G. Barto,M,3
Andrew Garland,M,1
Andrew Gilpin,M,1
Andrew J. Davison,M,2
Andrew Lim 0001,M,1
Andrew McCallum,M,2
Andrew Tomkins,M,1
Andrew Turpin,M,2
Andrew W. Moore 0001,M,3
Andrew Witkowski,M,1
Andrew Y. Ng,M,2
Andrew Zisserman,M,1
Andrzej Szalas,M,1
André van Hameren,M,1
Andy Tsai,M,1
Angela Bonifati,F,2
Anil K. Jain 0001,M,3
Anil Sewani,M,1
Ann E. Nicholson,F,1
Ann Nowé,F,1
Anna C. Gilbert,F,1
Anna Goy,F,1
Anna M. Manning,F,1
Anne H. H. Ngu,F,1
Anni Coden,F,1
Anthony J. Yezzi,M,2
Anthony Jameson,M,1
Anthony K. H. Tung,M,2
Antonio De Santis,M,1
Antonio Robles-Kelly,M,2
Antonis A. Argyros,M,1
Antonis C. Kakas,M,1
Antony Unwin,M,1
Antti Tammela,M,1
Apostol Natsev,M,1
Ari Heinonen,M,1
Ari Kahn,M,1
Ariel Tankus,M,1
Aristides Gionis,M,1
Armando Tacchella,M,1
Armin B. Cremers,M,1
Arnaldo J. Abrantes,M,1
Arno J. Knobbe,M,1
Arno Schödl,M,1
Arno Siebes,M,1
Arnold L. Rosenberg,M,1
Arnold W. M. Smeulders,M,1
Arnon Amir,M,2
Art Kaufmann,M,1
Arthur T. Whitney,M,1
Artur Bykowski,M,1
Arun Iyengar,M,1
Arun K. Majumdar,M,1
Arun Vachher,M,1
Asaf Adi,M,1
Ashley Eden,F,1
Ashok Joshi,M,1
Ashok K. Goel 0001,M,1
Ashraf Aboulnaga,M,1
Ashutosh Garg,M,1
Asi Elad (Elbaz),M,1
Asim Razzaq,M,1
Assaf Schuster,M,1
Assaf Zomet,M,1
Asunción Gómez-Pérez,F,1
Ata Kabán,M,1
Atsushi Fujii,M,1
Attilio Giordana,M,1
Audrey M. Tam,F,1
Avi Arampatzis,M,1
Aya Soffer,F,3
Aymeric Perchant,M,1
Aynur A. Dayanik,F,1
Banu Özden,F,1
Bart Goethals,M,1
Bart Selman,M,1
Bastian Leibe,M,1
Behzad Mortazavi-Asl,M,1
Behzad Shahraray,M,1
Ben Gum,M,1
Ben Kao,M,2
Ben Walter,M,1
Benjamin Kuipers,M,1
Benjamin Nguyen,M,1
Benjamin Taskar,M,3
Benjamin Van Roy,M,1
Berardina De Carolis,F,1
Bernd Fischer 0003,M,1
Bernd Heisele,M,1
Bernd Meyer 0001,M,1
Bernhard Braunmüller,M,1
Bernhard Pfahringer,M,1
Bernhard Schölkopf,M,1
Bernhard Seeger,M,3
Bernhard Zeller,M,1
Bernt Schiele,M,1
Berry de Bruijn,M,1
Bert Van Nuffelen,M,1
Bert Van der Linden,M,1
Bertram Ludäscher,M,1
Beverly Yang,F,1
Bharat Chandra,M,1
Bharat Kumar,M,2
Bhavani Raskutti,F,1
Bianca Zadrozny,F,1
Bill Triggs,M,1
Bin Lan,M,1
Bin Luo 0001,M,1
Bing Liu 0001,M,5
Binyamin Rosenfeld,M,1
Björn Blohsfeld,M,1
Bob Price,M,1
Bogdan Matei,M,1
Bogdan Stanescu,M,1
Brahim Medjahed,M,1
Branko Kavsek,M,1
Brendan J. Frey,M,1
Brenno Lurati,M,1
Brett J. Doleman,M,1
Brian C. Williams,M,2
Brian Curless,M,1
Brian F. Cooper,M,1
Brian Milch,M,1
Brian Sterling,M,1
Brian Vickery,M,1
Bruce A. Draper,M,1
Bruce A. Shapiro,M,1
Bruce Blumberg,M,2
Bruce G. Lindsay 0001,M,1
Bruce Gordon,M,1
Bruce Hillyer,M,1
Bruno Codenotti,M,1
Bryan Nelson,M,1
Bryan S. Morse,M,1
Bryan Singer,M,1
Byron Dom,M,1
Bärbel Ripplinger,F,1
Caetano Traina Jr.,M,2
Calisto Zuzarte,M,1
Camillo Gentile,M,1
Camillo J. Taylor,M,1
Carl Lagoze,M,1
Carla P. Gomes,F,1
Carlo Tomasi,M,1
Carlo Zaniolo,M,2
Carlos Agra Coelho,M,1
Carlos Castillo 0001,M,1
Carlos Eduardo Mariano,M,1
Carlos Guestrin,M,1
Carlos Ordonez 0001,M,2
Carlotta Domeniconi,F,1
Carmel Domshlak,M,1
Carmen Riedler,F,1
Carole A. Goble,F,3
Catalina Fan,F,1
Catharine M. Wyss,F,1
Catherine Faron-Zucker,F,1
Catherine Pelachaud,F,1
Cemal Yilmaz,M,2
Cen Rao,M,1
Cesar A. Santana,M,1
Cesare Pautasso,M,1
Chandra Kambhamettu,M,1
Chang-Hung Lee,M,1
Chanh Nguyen,M,1
Charles B. Callaway,M,1
Charles Elkan,M,2
Charles K. Nicholas,M,1
Charles L. A. Clarke,M,1
Charles R. Dyer,M,1
Charles Schweizer,M,1
Charles V. Stewart,M,1
Charu C. Aggarwal,F,2
Chen Li 0001,M,1
Chen Sagiv,M,1
Cheng Lu,M,1
Cheng Yang,M,1
Cheng-Ru Lin,M,1
ChengXiang Zhai,M,2
Chi Lap Yip,M,1
Chi-Yuen Ng,F,1
Chong Jin Ong,M,1
Chris A. Johnson 0002,M,1
Chris Buehler,M,1
Chris Clifton,M,1
Chris Folk,M,1
Chris H. Q. Ding,M,1
Chris Olston,M,1
Christer Bäckström,M,1
Christian Böhm,M,1
Christian Decomain,M,1
Christian Hanin,M,1
Christian Hofbauer,M,1
Christian S. Jensen,M,3
Christian Schellewald,M,1
Christian Vogler,M,1
Christian Wiesner,M,1
Christian Wolff 0001,M,1
Christine Alvarado,F,1
Christine Decaestecker,F,1
Christoph Bregler,M,1
Christoph Helma,M,1
Christoph Schnörr,M,1
Christoph von der Malsburg,M,1
Christophe Bobineau,M,1
Christophe Rigotti,M,1
Christophe Samson,M,1
Christophe Vestri,M,1
Christopher Brewster,M,1
Christopher G. Healey,M,1
Christopher Geyer,M,1
Christopher J. Taylor 0001,M,1
Christopher Jeris,M,1
Christopher K. Eveland,M,1
Christopher Meek,M,1
Christopher Tang,M,1
Christos Faloutsos,M,4
Christos Falusos,M,1
Christos Makris,M,1
Chuck Freiwald,M,1
Chun Hung Cheng,M,1
Chun Zhang,M,1
Chung-Sheng Li,M,1
Claire Cardie,F,1
Clare M. Tempany,F,1
Clark F. Olson,M,1
Claudia Diamantini,F,1
Claudia Picardi,F,2
Claudio Masolo,M,1
Clayton Springer,M,1
Clement H. C. Leung,M,1
Clement T. Yu,M,1
Clifford J. Weinstein,M,1
Cláudio T. Silva,M,1
Cody C. T. Kwok,M,1
Cordelia Schmid,F,1
Corin R. Anderson,M,1
Cornelia Fermüller,F,1
Craig A. Knoblock,M,2
Craig Boutilier,M,2
Craig D. Stewart,M,1
Craig E. Wills,M,1
Craig J. Bunker,M,1
Craig Saunders,M,1
Cristian Sminchisescu,M,2
Cristina Bedeschi,F,1
Cristina Conati,F,1
Curtis E. Dyreson,M,1
Cynthia Dwork,F,1
Cynthia Roberts,F,1
Cyrus Shahabi,M,2
Céline Robardet,F,1
Dale Schuurmans,M,1
Damian A. Isla,M,1
Damianos Chatziantoniou,M,1
Dan A. Simovici,M,1
Dan Pelleg,M,1
Dan Roth,M,1
Dan Suciu,M,4
Dan Vodislav,M,1
Dan Wineman,M,1
Dana S. Nau,F,2
Daniel Alexander Ford,M,1
Daniel Barbará,M,1
Daniel Berwick,M,1
Daniel C. Zilio,M,1
Daniel D. Morris,M,1
Daniel F. Lieuwen,M,1
Daniel Gillblad,M,1
Daniel Gruhl,M,1
Daniel J. Pack,M,1
Daniel Keren,M,1
Daniel Keysers,M,1
Daniel Le Berre,M,1
Daniel Oblinger,M,1
Daniel P. Dabney,M,1
Daniel R. Dooly,M,1
Daniel S. Weld,M,4
Daniel S. Yeung,M,1
Daniel Schwabe,M,1
Daniela Florescu,F,3
Daniela Grigori,F,1
Daniele Theseider Dupré,F,1
Danny B. Yang,M,1
Danny Roobaert,M,1
Dao Dinh Kha,F,1
Daphna Weinshall,F,1
Daphne Koller,F,7
Dara Koozekanani,F,1
Darren T. Lim,M,1
Daryl Pregibon,M,1
David A. Bell,M,1
David A. Forsyth,M,2
David A. Grossman,M,1
David A. Randell,M,1
David B. Johnson 0003,M,1
David B. Leake,M,1
David B. Lomet,M,2
David Bengali,M,1
David Botzer,M,1
David Buttler,M,1
David C. Gibbon,M,1
David C. Parkes,M,1
David Carmel,M,2
David Choi,M,1
David E. DiFranco,M,1
David E. Losada,M,1
David E. Simmen,M,1
David E. Tyler,M,1
David Gondek,M,1
David Guillamet,M,2
David H. Wolpert,M,1
David Harel,M,1
David Hawking,M,2
David J. DeWitt,M,3
David J. Fleet,M,2
David J. Hand,M,1
David J. Hirvonen,M,1
David J. Kriegman,M,2
David L. Page,M,1
David Levine,M,1
David Li,M,1
David M. Blei,M,1
David M. Hart,M,1
David M. Pennock,M,1
David Maier 0001,M,1
David Maxwell Chickering,M,1
David P. Capel,M,1
David Rieber,M,1
David Salesin,M,1
David Sloan,M,1
David Tschumperlé,M,1
David W. Aha,M,2
David W. Jacobs,M,1
David Wai-Lok Cheung,M,5
David Wilhite,M,1
David Zhang 0001,M,1
Dawn J. Lawrie,F,1
Deb Campbell,F,1
Dee Jay Randall,F,1
Demet Aksoy,F,1
Denis Gingras,M,1
Denis Rinfret,M,1
Denise Draper,F,1
Dennis E. Shasha,M,3
Dennis Nilsson,M,1
Derek Long,M,1
Dewey Tucker,M,1
Diane Kelly 0001,F,1
Diane Lambert,F,1
Dianne Cook,F,1
Dick C. A. Bulterman,M,1
Didier Mousseau,M,1
Diego A. Socolinsky,M,1
Diego Calvanese,M,1
Dieter Fensel,M,1
Dieter Fox,M,1
Dik Lun Lee,M,1
Dimitrios Gunopulos,M,5
Dimitrios Katsaros 0001,M,1
Dimitrios Retalis,M,1
Dimitris Achlioptas,M,1
Dimitris Margaritis 0001,M,1
Dimitris N. Metaxas,M,2
Dimitris Papadias,M,1
Dionysius P. Huijsmans,M,1
Dirk Ormoneit,M,1
Dirk Schulz 0001,M,1
Dirk Van Gucht,M,1
Dmitry Rusakov,M,1
Doina Caragea,F,1
Doina Precup,F,1
Domenico Ursino,M,1
Don Kimber,M,1
Donald E. Brown,M,1
Donald Kossmann,M,4
DongPing Fang,M,1
Dorian Suc,M,1
Dorin Comaniciu,M,1
Doron Cohen,M,1
Douglas Burdick,M,1
Douglas R. Heisterkamp,M,2
Dragoljub Pokrajac,M,1
Dragomir R. Radev,M,1
Du Q. Huynh,M,1
Du Zhang,M,1
Duane Schwartzwald,M,1
Dulce B. Ponceleon,F,1
Dunja Mladenic,F,1
Eamonn J. Keogh,M,2
Edda Leopold,F,1
Edgar Hotz,M,1
Edmond Boyer,M,1
Eduardo F. Morales 0001,M,2
Edward A. Fox,M,1
Edward H. Adelson,M,1
Edward Hunter,M,1
Edward Omiecinski,M,3
Edward Y. Chang,M,2
Edwin M. Knorr,M,1
Edwin P. D. Pednault,M,2
Edwin R. Hancock,M,2
Efstathios Hadjidemetriou,M,1
Ehud Rivlin,M,1
Eibe Frank,M,2
Eike Schallehn,M,1
Eitan Farchi,M,1
Eitan Sharon,M,1
Ela Hunt,F,1
Elena Ferrari,F,1
Elena Popovici,F,1
Elisa Bertino,F,1
Elizabeth A. M. Shriver,F,1
Elizabeth J. O'Neil,F,1
Elizabeth Krawczynska,F,1
Elke A. Rundensteiner,F,2
Ella Bingham,F,2
Elli Angelopoulou,F,1
Elmer Sandvad,M,1
Emiliano Casalicchio,M,1
Emilio Remolina,M,1
Emmanuel Guere,M,1
Endika Bengoetxea,M,1
Enric Plaza,M,2
Enrico Blanzieri,M,1
Enrico Giunchiglia,M,1
Enrico Motta,M,2
Eran Gabber,M,1
Eran Naftali,M,1
Eran Segal,M,1
Erhard Rahm,M,2
Eric A. Hansen,M,1
Eric Bibelnieks,M,1
Eric Bloedorn,M,1
Eric C. C. Tsang,M,1
Eric Chang,M,1
Eric Cohen-Solal,M,1
Eric Mjolsness,M,1
Eric N. Mortensen,M,1
Eric P. Xing,M,1
Eric Simon,M,1
Eric W. Brown 0001,M,1
Erich Müller,M,1
Erik Wilde,M,2
Ernest V. Garcia,M,1
Ernesto Damiani,M,1
Eugen C. Buehler,M,1
Eugene Agichtein,M,2
Eugene Inseok Chong,M,1
Eugene J. Alexander,M,1
Eugene J. Shekita,M,1
Eva Armengol,F,1
Evgeniy Gabrilovich,M,1
Eyal Amir,M,1
Eytan Ruppin,M,1
Fabien Feschet,M,1
Fabio Aiolli,M,1
Fabio Casati,M,2
Fabio Ciravegna,M,1
Fabricio de B. Voznika,M,1
Fanny Wattez,F,1
Fateh Tipu,M,1
Fatima Al-Garawi,F,1
Fei Xia,M,1
Felipe Cariño,M,1
Felix Cheung,M,1
Feng Zhao 0001,M,1
Fernando C. N. Pereira,M,1
Fernando De la Torre,M,1
Filippo Menczer,M,1
Finn Årup Nielsen,M,1
Fiora Pirri,F,1
Fiorella de Rosis,F,1
Flip Korn,M,3
Florian Krebs,M,1
Florian Waas,M,1
Floriana Esposito,F,1
Floris Geerts,M,1
Fosca Giannotti,F,1
Foster J. Provost,M,2
Foto N. Afrati,M,1
Francesc Esteva,M,1
Francesca Rossi,F,1
Francesco C. Billari,M,1
Francesco Scarcello,M,1
Francine Chen 0001,F,1
Francis Y. L. Chin,M,1
Francisco Pereira,M,1
Franciska de Jong,F,1
Franco Turini,M,1
Frank C. H. Tong,M,1
Frank Cornelissen,M,1
Frank Kargl,M,1
Frank Neven,M,1
Frank P. Ferrie,M,1
Frank Ramsak,M,1
Frank Wittig,M,1
Frank van Harmelen,M,1
Frans Coenen,M,1
Franz Baader,M,1
François Charpillet,M,1
François Chaumette,M,1
François Llirbat,M,2
François Velin,M,1
Françoise Fabret,F,3
Freddy Y. C. Mang,M,1
Frederic Devernay,M,1
Fredric C. Gey,M,1
Fredrik Kahl,M,1
Fredrik Linåker,M,1
Frédéric Benhamou,M,1
Frédéric Jurie,M,1
Frédéric Moal,M,1
Fu Tong,M,1
Fumihiro Kato,M,2
Gabriel M. Kuper,M,1
Gabriella Kazai,F,1
Gadi Wolfman,M,1
Gail Mitchell,F,1
Gal Ashour,M,1
Gang Li 0009,M,1
Gang Lin,M,1
Gareth O. Roberts,M,1
Gary Marsden,M,1
Gary R. Bradski,M,1
Gautam Das 0001,M,2
Gautam Pant,M,1
Gautam Shanbhag,M,1
Gayatri Sathe,F,1
Geoff Hulten,M,2
Geoffrey Holmes 0001,M,1
Geoffrey I. Webb,M,1
Geoffrey Zweig,M,1
Georg Gottlob,M,3
Georg Lausen,M,1
George A. Mihaila,M,2
George Buchanan,M,1
George K. Kokkinakis,M,1
George Karypis,M,4
George Kollios,M,1
George Samaras,M,1
Gerald Pfeifer,M,1
Gerald Schaefer,M,1
Gerald Sommer,M,1
Gerald Tesauro,M,1
Gerardo Hermosillo,M,1
Gerd Stumme,M,1
Gerhard Heyer,M,1
Gerhard Lakemeyer,M,1
Gerhard Paass,M,1
Gerhard Schuster,M,1
Gerhard Weikum,M,1
Gheorghe Tecuci,M,1
Gianfranco Doretto,M,1
Giedrius Slivinskas,M,1
Gill Bejerano,F,1
Gilles Aubert,M,1
Gillian Dobbie,F,1
Giorgio Terracina,M,1
Giovanna Petrone,F,1
Giovanni A. Modica,M,1
Giovanni Pacifici,M,1
Giovanni Semeraro,M,1
Gita Sukthankar,F,1
Giuliana Sabbatini,F,1
Giuseppe Carenini,M,2
Giuseppe De Giacomo,M,1
Giuseppe Manco 0001,M,1
Giuseppe Santucci,M,1
Giuseppe Sindoni,M,1
Gopal Mulagund,M,1
Gordon V. Cormack,M,1
Grace Zhang,F,1
Graham D. Finlayson,M,1
Graham Goulbourne,M,1
Graham J. Williams,M,2
Greg Hamerly,M,1
Greg J. Badros,M,1
Greg Mori,M,1
Gregory Cobena,M,2
Gregory Dudek,M,1
Gregory Piatetsky-Shapiro,M,2
Gregory Shakhnarovich,M,2
Gregory Z. Grudic,M,1
Grzegorz Czajkowski,M,1
Guang Jiang,M,1
Guido Gerig,M,1
